title,price_gbp,price_inr,rating,in_stock,category
Logan Kade (Fallen Crest High #5.5),13.12,1384.1599999999999,2,True,Academic
The Torch Is Passed: A Harding Family Story,19.09,2013.995,1,True,Add a comment
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,2520.395,4,True,Add a comment
The Art Forger,40.76,4300.179999999999,3,True,Add a comment
On a Midnight Clear,14.07,1484.385,3,True,Add a comment
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5686.45,2,True,Add a comment
"Shobu Samurai, Project Aryoku (#3)",29.06,3065.83,3,True,Add a comment
Modern Romance,28.26,2981.4300000000003,5,True,Add a comment
The White Queen (The Cousins' War #1),25.91,2733.505,5,True,Add a comment
The Song of Achilles,37.4,3945.7,5,True,Add a comment
The Immortal Life of Henrietta Lacks,40.67,4290.685,2,True,Add a comment
The Dovekeepers,48.78,5146.29,1,True,Add a comment
More Than Music (Chasing the Dream #1),37.61,3967.855,2,True,Add a comment
Code Name Verity (Code Name Verity #1),22.13,2334.7149999999997,4,True,Add a comment
Cell,20.29,2140.595,4,True,Add a comment
Angels Walking (Angels Walking #1),34.2,3608.1000000000004,2,True,Add a comment
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,5958.639999999999,2,True,Add a comment
A People's History of the United States,40.79,4303.345,2,True,Add a comment
A Brush of Wings (Angels Walking #3),55.51,5856.304999999999,1,True,Add a comment
Rook,37.86,3994.23,4,True,Add a comment
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,2764.1,1,True,Add a comment
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,6240.325,4,True,Add a comment
The Children,11.88,1253.3400000000001,3,True,Add a comment
One with You (Crossfire #5),15.71,1657.4050000000002,4,True,Add a comment
Without Shame,48.27,5092.485000000001,5,True,Add a comment
Watchmen,58.05,6124.275,4,True,Add a comment
A Hero's Curse (The Unseen Chronicles #1),50.49,5326.695000000001,3,True,Add a comment
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,3775.845,2,True,Add a comment
The Glass Castle,16.24,1713.32,1,True,Add a comment
The Drowning Girls,35.67,3763.1850000000004,3,True,Add a comment
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,2122.6600000000003,5,True,Add a comment
John Adams,57.43,6058.865,4,True,Add a comment
Good in Bed (Cannie Shapiro #1),37.05,3908.7749999999996,5,True,Add a comment
The Joy of Cooking,43.27,4564.985000000001,4,True,Add a comment
The Golden Compass (His Dark Materials #1),18.77,1980.235,1,True,Add a comment
The God Delusion,46.85,4942.675,3,True,Add a comment
Pride and Prejudice,19.27,2032.985,4,True,Add a comment
Mere Christianity,48.51,5117.804999999999,3,True,Add a comment
Fun Home: A Family Tragicomic,56.59,5970.245000000001,4,True,Add a comment
The Raven King (The Raven Cycle #4),30.57,3225.135,2,True,Add a comment
Find Her (Detective D.D. Warren #8),22.37,2360.0350000000003,1,True,Add a comment
Evicted: Poverty and Profit in the American City,42.27,4459.485000000001,1,True,Add a comment
A Game of Thrones (A Song of Ice and Fire #1),46.42,4897.31,2,True,Add a comment
A Clash of Kings (A Song of Ice and Fire #2),10.79,1138.3449999999998,3,True,Add a comment
The Tipping Point: How Little Things Can Make a Big Difference,10.02,1057.11,2,True,Add a comment
The Rest Is Noise: Listening to the Twentieth Century,34.77,3668.235,1,True,Add a comment
The Purpose Driven Life: What on Earth Am I Here for?,37.19,3923.5449999999996,3,True,Add a comment
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,5042.9,3,True,Add a comment
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,6064.139999999999,1,True,Add a comment
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,2334.7149999999997,4,True,Add a comment
The Complete Poems,41.32,4359.26,5,True,Add a comment
The Catcher in the Rye,24.55,2590.025,1,True,Add a comment
The Case for Christ (Cases for Christianity),47.84,5047.120000000001,1,True,Add a comment
The Blind Side: Evolution of a Game,53.71,5666.405,5,True,Add a comment
Seven Days in the Art World,52.33,5520.815,2,True,Add a comment
Sarah's Key,46.29,4883.595,1,True,Add a comment
Rogue Lawyer (Rogue Lawyer #1),50.11,5286.605,3,True,Add a comment
Manuscript Found in Accra,34.98,3690.39,2,True,Add a comment
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,2245.04,4,True,Add a comment
Cosmos,36.17,3815.9350000000004,2,True,Add a comment
#GIRLBOSS,50.96,5376.28,1,True,Add a comment
The Sense of an Ending,31.38,3310.5899999999997,3,True,Add a comment
The Republic,33.78,3563.79,3,True,Add a comment
The Odyssey,29.64,3127.02,3,True,Add a comment
The Light of the Fireflies,54.43,5742.365,1,True,Add a comment
The Iliad,16.16,1704.88,1,True,Add a comment
The Communist Manifesto,14.76,1557.18,3,True,Add a comment
Lord of the Flies,24.89,2625.895,3,True,Add a comment
Fifty Shades Freed (Fifty Shades #3),15.36,1620.48,5,True,Adult Fiction
